Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0242495035	-2.3866912e-09	-2.3866912e-09	-2.3866912e-09	-2.3866912e-09	0	0	0	0	0	0	3
2	2	0	0.0484990069	-6.20170622e-10	-1.50343091e-09	-2.3866912e-09	-6.20170622e-10	8.83260287e-10	0	0	0	0	0	3
3	2	0	0.0727485104	-4.48970566e-10	-1.15194413e-09	-2.3866912e-09	-4.48970566e-10	1.23474707e-09	0	0	0	0	0	3
4	2	0	0.0969980138	5.16864162e-10	-7.34742056e-10	-2.3866912e-09	5.16864162e-10	1.65194914e-09	0	0	0	0	0	3
5	2	0	0.121247517	4.46764376e-10	-4.98440769e-10	-2.3866912e-09	5.16864162e-10	1.88825043e-09	0	0	0	0	0	3
6	2	0	0.145497021	3.07735556e-10	-3.64078048e-10	-2.3866912e-09	5.16864162e-10	2.02261315e-09	0	0	0	0	0	3
7	2	0	0.169746524	-1.71906816e-09	-5.57648064e-10	-2.3866912e-09	5.16864162e-10	2.02261315e-09	0	0	0	0	0	3
8	3	0	0.193996028	1.07286038e-09	-3.53834508e-10	-2.3866912e-09	1.07286038e-09	2.03285669e-09	0	0	0	0	0	3
9	3	0	0.218245531	-3.14853283e-11	-3.18017933e-10	-2.3866912e-09	1.07286038e-09	2.06867326e-09	0	0	0	0	0	3
10	3	0	0.242495035	1.23026253e-10	-2.73913514e-10	-2.3866912e-09	1.07286038e-09	2.11277768e-09	0	0	0	0	0	3
11	3	0	0.266744538	2.73047327e-10	-2.24189801e-10	-2.3866912e-09	1.07286038e-09	2.16250139e-09	0	0	0	0	0	3
12	3	0	0.290994041	1.50809516e-10	-1.92939858e-10	-2.3866912e-09	1.07286038e-09	2.19375134e-09	0	0	0	0	0	3
13	3	0	0.315243545	-7.92291328e-10	-2.39043817e-10	-2.3866912e-09	1.07286038e-09	2.19375134e-09	0	0	0	0	0	3
14	4	0	0.339493048	1.53232115e-09	-1.12517749e-10	-2.3866912e-09	1.53232115e-09	2.27417345e-09	0	0	0	0	0	3
15	4	0	0.363742552	1.09316723e-09	-3.21387498e-11	-2.3866912e-09	1.53232115e-09	2.35455245e-09	0	0	0	0	0	3
16	4	0	0.387992055	3.88177433e-10	-5.86898837e-12	-2.3866912e-09	1.53232115e-09	2.38082221e-09	0	0	0	0	0	3
17	4	0	0.412241559	2.26253723e-09	1.27566672e-10	-2.3866912e-09	2.26253723e-09	2.51425787e-09	0	0	0	0	0	3
18	4	0	0.436491062	-7.6861533e-10	7.77787828e-11	-2.3866912e-09	2.26253723e-09	2.51425787e-09	0	0	0	0	0	3
19	4	0	0.460740566	2.07030248e-09	1.82648451e-10	-2.3866912e-09	2.26253723e-09	2.56933965e-09	0	0	0	0	0	3
20	4	0	0.484990069	8.70573514e-10	2.17044704e-10	-2.3866912e-09	2.26253723e-09	2.6037359e-09	0	0	0	0	0	3
21	4	0	0.509239573	-2.8955032e-10	1.92921131e-10	-2.3866912e-09	2.26253723e-09	2.6037359e-09	0	0	0	0	0	3
22	5	0	0.533489076	1.00918846e-09	3.54629686e-10	-1.71906816e-09	2.26253723e-09	1.8580606e-09	0	0	0	0	0	3
23	5	0	0.557738579	6.3287972e-10	4.1429875e-10	-1.71906816e-09	2.26253723e-09	1.56624288e-09	0	0	0	0	0	3
24	5	0	0.581988083	9.63630629e-10	4.81565474e-10	-1.71906816e-09	2.26253723e-09	1.21630753e-09	0	0	0	0	0	3
25	5	0	0.606237586	9.24232504e-10	5.00963966e-10	-1.71906816e-09	2.26253723e-09	1.05861203e-09	0	0	0	0	0	3
26	5	0	0.63048709	-7.76442638e-10	4.42716013e-10	-1.71906816e-09	2.26253723e-09	1.05861203e-09	0	0	0	0	0	3
27	5	0	0.654736593	3.89042772e-09	6.13320402e-10	-1.71906816e-09	3.89042772e-09	1.17096847e-09	0	0	0	0	0	3
28	5	0	0.678986097	-8.46077952e-10	6.54891364e-10	-8.46077952e-10	3.89042772e-09	1.00872587e-09	0	0	0	0	0	3
29	6	0	0.7032356	-1.09659811e-09	5.51583817e-10	-1.09659811e-09	3.89042772e-09	9.72909297e-10	0	0	0	0	0	3
30	6	0	0.727485104	1.69616628e-09	6.33852941e-10	-1.09659811e-09	3.89042772e-09	9.28804878e-10	0	0	0	0	0	3
31	6	0	0.751734607	-1.33140819e-09	5.64594158e-10	-1.33140819e-09	3.89042772e-09	8.93935182e-10	0	0	0	0	0	3
32	6	0	0.775984111	2.02192617e-10	5.61220124e-10	-1.33140819e-09	3.89042772e-09	8.93935182e-10	0	0	0	0	0	3
33	6	0	0.800233614	1.43524084e-09	6.22383521e-10	-1.33140819e-09	3.89042772e-09	8.93935182e-10	0	0	0	0	0	3
34	6	0	0.824483117	-6.26935527e-10	6.30257607e-10	-1.33140819e-09	3.89042772e-09	7.67409113e-10	0	0	0	0	0	3
35	6	0	0.848732621	2.98807809e-09	6.99579366e-10	-1.33140819e-09	3.89042772e-09	7.31718116e-10	0	0	0	0	0	3
36	7	0	0.872982124	4.93529431e-10	6.71025185e-10	-1.33140819e-09	3.89042772e-09	7.05448354e-10	0	0	0	0	0	3
37	7	0	0.897231628	-3.107723e-09	5.04553736e-10	-3.107723e-09	3.89042772e-09	6.21800583e-10	0	0	0	0	0	3
38	7	0	0.921481131	2.98379602e-09	5.38899392e-10	-3.107723e-09	3.89042772e-09	6.21800583e-10	0	0	0	0	0	3
39	7	0	0.945730635	9.44028253e-11	5.79995495e-10	-3.107723e-09	3.89042772e-09	5.16930915e-10	0	0	0	0	0	3
40	7	0	0.969980138	4.69364996e-09	7.04916804e-10	-3.107723e-09	4.69364996e-09	5.11995672e-10	0	0	0	0	0	3
41	7	0	0.994229642	5.04858027e-10	6.87501781e-10	-3.107723e-09	4.69364996e-09	5.11995672e-10	0	0	0	0	0	3
42	7	0	1.01847915	-4.48180372e-10	6.79947969e-10	-3.107723e-09	4.69364996e-09	3.50287117e-10	9.48042745e-05	0	100	0	0	3
43	7	0	1.04272865	1.24638854e-09	6.91243211e-10	-3.107723e-09	4.69364996e-09	2.90618053e-10	9.48042745e-05	0	100	0	0	3
44	7	0	1.06697815	-1.50887297e-09	5.89254987e-10	-3.107723e-09	4.69364996e-09	2.6220079e-10	9.48042745e-05	0	100	0	0	3
45	7	0	1.09122766	1.23545099e-09	6.02198814e-10	-3.107723e-09	4.69364996e-09	2.6220079e-10	9.48042745e-05	0	100	0	0	3
46	8	0	1.11547716	-1.21458263e-09	5.00350474e-10	-3.107723e-09	4.69364996e-09	2.6220079e-10	9.48042745e-05	0	100	0	0	3
47	8	0	1.13972666	1.83502693e-09	6.24706168e-10	-3.107723e-09	4.69364996e-09	2.04566329e-10	9.48042745e-05	0	100	0	0	3
48	8	0	1.16397617	4.2003697e-09	6.3946531e-10	-3.107723e-09	4.69364996e-09	2.04566329e-10	9.48042745e-05	0	100	0	0	3
49	8	0	1.18822567	-2.75661952e-09	5.4848714e-10	-3.107723e-09	4.69364996e-09	2.04566329e-10	9.48042745e-05	0	100	0	0	3
50	8	0	1.21247517	2.33444459e-09	7.11870126e-10	-3.107723e-09	4.69364996e-09	2.11519651e-10	9.48042745e-05	0	100	0	0	3
