Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0242495035
2	2	0	0.0484990069
3	2	0	0.0727485104
4	2	0	0.0969980138
5	2	0	0.121247517
6	2	0	0.145497021
7	2	0	0.169746524
8	3	0	0.193996028
9	3	0	0.218245531
10	3	0	0.242495035
11	3	0	0.266744538
12	3	0	0.290994041
13	3	0	0.315243545
14	4	0	0.339493048
15	4	0	0.363742552
16	4	0	0.387992055
17	4	0	0.412241559
18	4	0	0.436491062
19	4	0	0.460740566
20	4	0	0.484990069
21	4	0	0.509239573
22	5	0	0.533489076
23	5	0	0.557738579
24	5	0	0.581988083
25	5	0	0.606237586
26	5	0	0.63048709
27	5	0	0.654736593
28	5	0	0.678986097
29	6	0	0.7032356
30	6	0	0.727485104
31	6	0	0.751734607
32	6	0	0.775984111
33	6	0	0.800233614
34	6	0	0.824483117
35	6	0	0.848732621
36	7	0	0.872982124
37	7	0	0.897231628
38	7	0	0.921481131
39	7	0	0.945730635
40	7	0	0.969980138
41	7	0	0.994229642
42	7	0	1.01847915
43	7	0	1.04272865
44	7	0	1.06697815
45	7	0	1.09122766
46	8	0	1.11547716
47	8	0	1.13972666
48	8	0	1.16397617
49	8	0	1.18822567
50	8	0	1.21247517
51	8	0	1.23672468
52	8	0	1.26097418
53	8	0	1.28522368
54	8	0	1.30947319
55	8	0	1.33372269
56	8	0	1.35797219
57	9	0	1.3822217
58	9	0	1.4064712
59	9	0	1.4307207
60	9	0	1.45497021
61	9	0	1.47921971
62	9	0	1.50346921
63	9	0	1.52771872
