Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0242495035	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0484990069	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0727485104	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0969980138	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.121247517	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.145497021	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.169746524	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.193996028	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.218245531	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.242495035	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.266744538	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.290994041	0	0	0	0	0	0	0	0	0	0	3
13	3	0	0.315243545	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.339493048	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.363742552	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.387992055	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.412241559	0	0	0	0	0	0	0	0	0	0	3
18	4	0	0.436491062	0	0	0	0	0	0	0	0	0	0	3
19	4	0	0.460740566	0	0	0	0	0	0	0	0	0	0	3
20	4	0	0.484990069	0	0	0	0	0	0	0	0	0	0	3
21	4	0	0.509239573	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.533489076	0	0	0	0	0	0	0	0	0	0	3
23	5	0	0.557738579	0	0	0	0	0	0	0	0	0	0	3
24	5	0	0.581988083	0	0	0	0	0	0	0	0	0	0	3
25	5	0	0.606237586	0	0	0	0	0	0	0	0	0	0	3
26	5	0	0.63048709	0	0	0	0	0	0	0	0	0	0	3
27	5	0	0.654736593	0	0	0	0	0	0	0	0	0	0	3
28	5	0	0.678986097	0	0	0	0	0	0	0	0	0	0	3
29	6	0	0.7032356	0	0	0	0	0	0	0	0	0	0	3
30	6	0	0.727485104	0	0	0	0	0	0	0	0	0	0	3
31	6	0	0.751734607	0	0	0	0	0	0	0	0	0	0	3
32	6	0	0.775984111	0	0	0	0	0	0	0	0	0	0	3
33	6	0	0.800233614	0	0	0	0	0	0	0	0	0	0	3
34	6	0	0.824483117	0	0	0	0	0	0	0	0	0	0	3
35	6	0	0.848732621	0	0	0	0	0	0	0	0	0	0	3
36	7	0	0.872982124	0	0	0	0	0	0	0	0	0	0	3
37	7	0	0.897231628	0	0	0	0	0	0	0	0	0	0	3
38	7	0	0.921481131	0	0	0	0	0	0	0	0	0	0	3
39	7	0	0.945730635	0	0	0	0	0	0	0	0	0	0	3
40	7	0	0.969980138	0	0	0	0	0	0	0	0	0	0	3
41	7	0	0.994229642	0	0	0	0	0	0	0	0	0	0	3
42	7	0	1.01847915	0	0	0	0	0	5e-06	0	100	0	0	3
43	7	0	1.04272865	0	0	0	0	0	5e-06	0	100	0	0	3
44	7	0	1.06697815	0	0	0	0	0	5e-06	0	100	0	0	3
45	7	0	1.09122766	0	0	0	0	0	5e-06	0	100	0	0	3
46	8	0	1.11547716	0	0	0	0	0	5e-06	0	100	0	0	3
47	8	0	1.13972666	0	0	0	0	0	5e-06	0	100	0	0	3
48	8	0	1.16397617	0	0	0	0	0	5e-06	0	100	0	0	3
49	8	0	1.18822567	0	0	0	0	0	5e-06	0	100	0	0	3
50	8	0	1.21247517	0	0	0	0	0	5e-06	0	100	0	0	3
51	8	0	1.23672468	0	0	0	0	0	5e-06	0	100	0	0	3
52	8	0	1.26097418	0	0	0	0	0	5e-06	0	100	0	0	3
53	8	0	1.28522368	0	0	0	0	0	5e-06	0	100	0	0	3
54	8	0	1.30947319	0	0	0	0	0	5e-06	0	100	0	0	3
55	8	0	1.33372269	0	0	0	0	0	5e-06	0	100	0	0	3
56	8	0	1.35797219	0	0	0	0	0	5e-06	0	100	0	0	3
57	9	0	1.3822217	0	0	0	0	0	5e-06	0	100	0	0	3
58	9	0	1.4064712	0	0	0	0	0	5e-06	0	100	0	0	3
59	9	0	1.4307207	0	0	0	0	0	5e-06	0	100	0	0	3
60	9	0	1.45497021	0	0	0	0	0	5e-06	0	100	0	0	3
61	9	0	1.47921971	0	0	0	0	0	5e-06	0	100	0	0	3
62	9	0	1.50346921	0	0	0	0	0	5e-06	0	100	0	0	3
63	9	0	1.52771872	0	0	0	0	0	5e-06	0	100	0	0	3
