Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0242495035	310.149968	310.149968	310.149968	310.149968	0	0	0	0	0	0	3
2	2	0	0.0484990069	310.149988	310.149978	310.149968	310.149988	1.00653707e-05	0	0	0	0	0	3
3	2	0	0.0727485104	310.149989	310.149982	310.149968	310.149989	1.36640522e-05	0	0	0	0	0	3
4	2	0	0.0969980138	310.149989	310.149984	310.149968	310.149989	1.551005e-05	0	0	0	0	0	3
5	2	0	0.121247517	310.149989	310.149985	310.149968	310.149989	1.66546698e-05	0	0	0	0	0	3
6	2	0	0.145497021	310.149989	310.149986	310.149968	310.149989	1.74448397e-05	0	0	0	0	0	3
7	2	0	0.169746524	310.14999	310.149986	310.149968	310.14999	1.80369899e-05	0	0	0	0	0	3
8	3	0	0.193996028	310.14999	310.149987	310.149968	310.14999	1.84939299e-05	0	0	0	0	0	3
9	3	0	0.218245531	310.14999	310.149987	310.149968	310.14999	1.88673122e-05	0	0	0	0	0	3
10	3	0	0.242495035	310.14999	310.149987	310.149968	310.14999	1.91813792e-05	0	0	0	0	0	3
11	3	0	0.266744538	310.14999	310.149988	310.149968	310.14999	1.94482666e-05	0	0	0	0	0	3
12	3	0	0.290994041	310.14999	310.149988	310.149968	310.14999	1.96840491e-05	0	0	0	0	0	3
13	3	0	0.315243545	310.149991	310.149988	310.149968	310.149991	1.98958297e-05	0	0	0	0	0	3
14	4	0	0.339493048	310.149991	310.149988	310.149968	310.149991	2.00856687e-05	0	0	0	0	0	3
15	4	0	0.363742552	310.149991	310.149988	310.149968	310.149991	2.02572555e-05	0	0	0	0	0	3
16	4	0	0.387992055	310.149991	310.149988	310.149968	310.149991	2.04222222e-05	0	0	0	0	0	3
17	4	0	0.412241559	310.149991	310.149989	310.149968	310.149991	2.05774826e-05	0	0	0	0	0	3
18	4	0	0.436491062	310.149991	310.149989	310.149968	310.149991	2.0726722e-05	0	0	0	0	0	3
19	4	0	0.460740566	310.149992	310.149989	310.149968	310.149992	2.08728777e-05	0	0	0	0	0	3
20	4	0	0.484990069	310.149992	310.149989	310.149968	310.149992	2.10136948e-05	0	0	0	0	0	3
21	4	0	0.509239573	310.149992	310.149989	310.149968	310.149992	2.11572835e-05	0	0	0	0	0	3
22	5	0	0.533489076	310.149992	310.14999	310.149988	310.149992	4.19058568e-06	0	0	0	0	0	3
23	5	0	0.557738579	310.149993	310.149991	310.149989	310.149993	3.80143712e-06	0	0	0	0	0	3
24	5	0	0.581988083	310.149993	310.149991	310.149989	310.149993	3.92407776e-06	0	0	0	0	0	3
25	5	0	0.606237586	310.149993	310.149991	310.149989	310.149993	4.07361898e-06	0	0	0	0	0	3
26	5	0	0.63048709	310.149994	310.149991	310.149989	310.149994	4.39630583e-06	0	0	0	0	0	3
