Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0240126167	9447.85218	9447.85218	9447.85218	9447.85218	0	0	0	0	0	0	3
2	2	0	0.0480252334	9375.89933	9411.87576	9375.89933	9447.85218	35.9764237	0	0	0	0	0	3
3	2	0	0.0720378502	9373.42911	9399.06021	9373.42911	9447.85218	48.7919716	0	0	0	0	0	3
4	2	0	0.0960504669	9372.45839	9392.40975	9372.45839	9447.85218	55.4424271	0	0	0	0	0	3
5	2	0	0.120063084	9371.77808	9388.28342	9371.77808	9447.85218	59.568761	0	0	0	0	0	3
6	3	0	0.1440757	9371.53206	9385.49153	9371.53206	9447.85218	62.3606535	0	0	0	0	0	3
7	3	0	0.168088317	9370.81057	9383.39425	9370.81057	9447.85218	64.4579331	0	0	0	0	0	3
8	3	0	0.192100934	9370.32269	9381.7603	9370.32269	9447.85218	66.0918778	0	0	0	0	0	3
9	3	0	0.21611355	9370.17544	9380.4731	9370.17544	9447.85218	67.3790842	0	0	0	0	0	3
10	3	0	0.240126167	9369.84112	9379.4099	9369.84112	9447.85218	68.442282	0	0	0	0	0	3
11	3	0	0.264138784	9369.45784	9378.50516	9369.45784	9447.85218	69.3470148	0	0	0	0	0	3
12	4	0	0.288151401	9369.54294	9377.75831	9369.45784	9447.85218	70.0938672	0	0	0	0	0	3
13	4	0	0.312164017	9369.14122	9377.09546	9369.14122	9447.85218	70.7567204	0	0	0	0	0	3
14	4	0	0.336176634	9369.32404	9376.54036	9369.14122	9447.85218	71.3118214	0	0	0	0	0	3
15	4	0	0.360189251	9369.24497	9376.054	9369.14122	9447.85218	71.7981808	0	0	0	0	0	3
16	4	0	0.384201867	9369.32563	9375.63348	9369.14122	9447.85218	72.2187041	0	0	0	0	0	3
17	4	0	0.408214484	9369.33175	9375.26279	9369.14122	9447.85218	72.589394	0	0	0	0	0	3
18	4	0	0.432227101	9369.215	9374.9268	9369.14122	9447.85218	72.9253821	0	0	0	0	0	3
19	5	0	0.456239718	9369.57857	9374.64531	9369.14122	9447.85218	73.2068678	0	0	0	0	0	3
20	5	0	0.480252334	9369.26613	9374.37635	9369.14122	9447.85218	73.4758268	0	0	0	0	0	3
21	5	0	0.504264951	9369.42407	9374.14053	9369.14122	9447.85218	73.7116496	0	0	0	0	0	3
22	5	0	0.528277568	9369.39821	9370.40463	9369.14122	9375.89933	6.75811075	0	0	0	0	0	3
23	5	0	0.552290185	9369.45551	9370.09778	9369.14122	9373.42911	4.28789085	0	0	0	0	0	3
24	5	0	0.576302801	9369.5913	9369.91503	9369.14122	9372.45839	3.31716461	0	0	0	0	0	3
25	5	0	0.600315418	9369.60812	9369.7793	9369.14122	9371.77808	2.63686154	0	0	0	0	0	3
26	6	0	0.624328035	9369.46303	9369.66906	9369.14122	9371.53206	2.39084228	0	0	0	0	0	3
27	6	0	0.648340651	9369.66531	9369.58016	9369.14122	9370.81057	1.66934729	0	0	0	0	0	3
28	6	0	0.672353268	9369.5755	9369.52135	9369.14122	9370.32269	1.18146761	0	0	0	0	0	3
29	6	0	0.696365885	9369.52499	9369.48337	9369.14122	9370.17544	1.03422279	0	0	0	0	0	3
30	6	0	0.720378502	9369.72081	9369.46172	9369.14122	9369.84112	0.699896614	0	0	0	0	0	3
31	6	0	0.744391118	9369.50067	9369.44551	9369.14122	9369.72081	0.579587655	0	0	0	0	0	3
32	6	0	0.768403735	9369.57191	9369.45094	9369.14122	9369.72081	0.579587655	0	0	0	0	0	3
33	7	0	0.792416352	9369.54459	9369.45102	9369.14122	9369.72081	0.579587655	0	0	0	0	0	3
34	7	0	0.816428968	9369.62279	9369.47395	9369.215	9369.72081	0.505810151	0	0	0	0	0	3
35	7	0	0.840441585	9369.5389	9369.48418	9369.215	9369.72081	0.505810151	0	0	0	0	0	3
36	7	0	0.864454202	9369.58672	9369.50045	9369.215	9369.72081	0.505810151	0	0	0	0	0	3
37	7	0	0.888466819	9369.51356	9369.5094	9369.215	9369.72081	0.505810151	0	0	0	0	0	3
38	7	0	0.912479435	9369.54299	9369.51946	9369.215	9369.72081	0.505810151	0	0	0	0	0	3
39	7	0	0.936492052	9369.44513	9369.53042	9369.26613	9369.72081	0.454678271	0	0	0	0	0	3
40	7	0	0.960504669	9369.53675	9369.52843	9369.26613	9369.72081	0.454678271	0	0	0	0	0	3
41	8	0	0.984517285	9369.51483	9369.54027	9369.39821	9369.72081	0.322596441	0	0	0	0	0	3
42	8	0	1.0085299	9369.5131	9369.54451	9369.39821	9369.72081	0.322596441	0.18935326	0	58.6	0	0	3
43	8	0	1.03254252	9369.43595	9369.54631	9369.43595	9369.72081	0.284861075	0.18935326	0	66.4	0	0	3
44	8	0	1.05655514	9369.53791	9369.55023	9369.43595	9369.72081	0.284861075	0.18935326	0	66.4	0	0	3
45	8	0	1.08056775	9369.39113	9369.5407	9369.39113	9369.72081	0.329679856	0.18935326	0	57.4	0	0	3
46	8	0	1.10458037	9369.48417	9369.5348	9369.39113	9369.72081	0.223552174	0.18935326	0	84.7	0	0	3
47	8	0	1.12859299	9369.43416	9369.53342	9369.39113	9369.72081	0.134659358	0.18935326	0	100	0	0	3
48	8	0	1.1526056	9369.37685	9369.51969	9369.37685	9369.72081	0.10472661	0.18935326	0	100	0	0	3
49	8	0	1.17661822	9369.53184	9369.51761	9369.37685	9369.72081	0.10472661	0.18935326	0	100	0	0	3
50	8	0	1.20063084	9369.38732	9369.51105	9369.37685	9369.72081	0.10472661	0.18935326	0	100	0	0	3
51	8	0	1.22464345	9369.42382	9369.49691	9369.37685	9369.62279	0.10472661	0.18935326	0	100	0	0	3
52	9	0	1.24865607	9369.43781	9369.49392	9369.37685	9369.62279	0.0992945	0.18935326	0	100	0	0	3
53	9	0	1.27266869	9369.39034	9369.48527	9369.37685	9369.62279	0.0992156646	0.18935326	0	100	0	0	3
54	9	0	1.2966813	9369.42219	9369.47944	9369.37685	9369.62279	0.0762835972	0.18935326	0	100	0	0	3
55	9	0	1.32069392	9369.48985	9369.47311	9369.37685	9369.58672	0.0771218551	0.18935326	0	100	0	0	3
56	9	0	1.34470654	9369.38251	9369.46566	9369.37685	9369.58672	0.0845692171	0.18935326	0	100	0	0	3
57	9	0	1.36871915	9369.39112	9369.45635	9369.37685	9369.54299	0.0938836691	0.18935326	0	100	0	0	3
58	9	0	1.39273177	9369.39061	9369.45049	9369.37685	9369.54299	0.099738538	0.18935326	0	100	0	0	3
59	9	0	1.41674439	9369.35651	9369.44161	9369.35651	9369.53791	0.108618499	0.18935326	0	100	0	0	3
60	9	0	1.440757	9369.38122	9369.43857	9369.35651	9369.53791	0.111661841	0.18935326	0	100	0	0	3
61	9	0	1.46476962	9369.40857	9369.43247	9369.35651	9369.53791	0.117765348	0.18935326	0	100	0	0	3
62	9	0	1.48878224	9369.39618	9369.42682	9369.35651	9369.53791	0.123415398	0.18935326	0	100	0	0	3
